ident,name,iso_country,iso_region,iata_code
00A,Total Rf Heliport,US,US-PA,
00AA,Aero B Ranch Airport,US,US-KS,
00AK,Lowell Field,US,US-AK,
00AL,Epps Airpark,US,US-AL,
00AR,Newport Hospital & Clinic Heliport,US,US-AR,
00AS,Fulton Airport,US,US-OK,
00AZ,Cordes Airport,US,US-AZ,
00CA,Goldstone /Gts/ Airport,US,US-CA,
00CL,Williams Ag Airport,US,US-CA,
00CN,Kitchen Creek Helibase Heliport,US,US-CA,
00CO,Cass Field,US,US-CO,
00FA,Grass Patch Airport,US,US-FL,
00FD,Ringhaver Heliport,US,US-FL,
00FL,River Oak Airport,US,US-FL,
00GA,Lt World Airport,US,US-GA,
00GE,Caffrey Heliport,US,US-GA,
00HI,Kaupulehu Heliport,US,US-HI,
00ID,Delta Shores Airport,US,US-ID,
00IG,Goltl Airport,US,US-KS,
00II,Bailey Generation Station Heliport,US,US-IN,
00IL,Hammer Airport,US,US-IL,
00IN,St Mary Medical Center Heliport,US,US-IN,
00IS,Hayenga's Cant Find Farms Airport,US,US-IL,
00KS,Hayden Farm Airport,US,US-KS,
00KY,Robbins Roost Airport,US,US-KY,
00LA,Shell Chemical East Site Heliport,US,US-LA,
00LL,Ac & R Components Heliport,US,US-IL,
00LS,Lejeune Airport,US,US-LA,
00MD,Slater Field,US,US-MD,
00MI,Dow Chemical Heliport,US,US-MI,
00MN,Battle Lake Municipal Airport,US,US-MN,
00MO,Cooper Flying Service Airport,US,US-MO,
00MT,Sands Ranch Airport,US,US-MT,
00N,Bucks Airport,US,US-NJ,
00NC,North Raleigh Airport,US,US-NC,
00NJ,Colgate-Piscataway Heliport,US,US-NJ,
00NK,Cliche Cove Seaplane Base,US,US-NY,
00NY,Weiss Airfield,US,US-NY,
00OH,Exit 3 Airport,US,US-OH,
00OI,Miami Valley Hospital Heliport,US,US-OH,
00OK,Gull Bay Landing Airport,US,US-OK,
00OR,Steel Systems Heliport,US,US-OR,
00PA,R J D Heliport,US,US-PA,
00PN,Ferrell Field,US,US-PA,
00PS,Thomas Field,US,US-PA,
00S,Mc Kenzie Bridge State Airport,US,US-OR,
00SC,Flying O Airport,US,US-SC,
00SD,Homan Field,US,US-SD,
00TA,Sw Region Faa Heliport,US,US-TX,
00TE,Tcjc-Northeast Campus Heliport,US,US-TX,
00TN,Ragsdale Road Airport,US,US-TN,
00TS,Alpine Range Airport,US,US-TX,
00TX,San Jacinto Methodist Hospital Heliport,US,US-TX,
00UT,Clear Creek Ranch Airport,US,US-UT,
00VA,Vaughan Airport,US,US-VA,
00VI,Groundhog Mountain Airport,US,US-VA,
00W,Lower Granite State Airport,US,US-WA,
00WA,Howell Airport,US,US-WA,
00WI,Northern Lite Airport,US,US-WI,
00WN,Hawks Run Airport,US,US-WA,
00WV,Lazy J. Aerodrome,US,US-WV,
00WY,Mountain View Regional Hospital Heliport,US,US-WY,
00XS,L P Askew Farms Airport,US,US-TX,
01A,Purkeypile Airport,US,US-AK,
01AK,Providence Seward Medical Center Heliport,US,US-AK,
01AL,Ware Island Airport,US,US-AL,
01AR,Community Hospital of De Queen Heliport,US,US-AR,
01AZ,Yat Heliport,US,US-AZ,
01C,Grant Airport,US,US-MI,
01CA,Lugo Substation Heliport,US,US-CA,
01CL,Swansboro Country Airport,US,US-CA,
01CN,Los Angeles County Sheriff's Department Heliport,US,US-CA,
01CO,St Vincent General Hospital Heliport,US,US-CO,
01CT,Berlin Fairgrounds Heliport,US,US-CT,
01FA,Rybolt Ranch Airport,US,US-FL,
01FD,Advent Health Altamonte Springs Heliport,US,US-FL,
01FL,Cedar Knoll Flying Ranch Airport,US,US-FL,
01GA,Medical Center Heliport,US,US-GA,
01GE,The Farm Airport,US,US-GA,
01IA,Stender Airport,US,US-IA,
01ID,Lava Hot Springs Airport,US,US-ID,
01II,Myers Field,US,US-IN,
